Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,RSI
2010-03-16,8.006428718566895,8.03499984741211,7.946785926818848,8.016071319580078,6.777209281921387,446908000,7.564410758018494,7.391335716247559,90.19938734044479
2010-03-17,8.032142639160156,8.087499618530273,7.973928928375244,8.00428581237793,6.767246246337891,450956800,7.602928590774536,7.398557147979736,88.69840679587703
2010-03-18,8.003570556640625,8.035714149475098,7.950356960296631,8.023214340209961,6.7832489013671875,342109600,7.641714310646057,7.405892858505249,87.80673922849921
2010-03-19,8.028214454650879,8.044285774230957,7.901071071624756,7.9375,6.710780620574951,559445600,7.678464317321778,7.413949995040894,77.03914611675226
2010-03-22,7.873929023742676,8.071429252624512,7.862500190734863,8.026785850524902,6.78626823425293,456419600,7.721910762786865,7.424071435928345,79.57590261386486
2010-03-23,8.058570861816406,8.170714378356934,8.003570556640625,8.15571403503418,6.895271301269531,602431200,7.777803611755371,7.435771436691284,81.70611964157091
2010-03-24,8.130000114440918,8.221428871154785,8.125356674194336,8.19178581237793,6.925766944885254,597780400,7.829071450233459,7.449528570175171,81.4777577325973
2010-03-25,8.247142791748047,8.248929023742676,8.08035659790039,8.094642639160156,6.843636989593506,542284400,7.873089289665222,7.463050003051758,65.96184099380807
2010-03-26,8.176786422729492,8.283928871154785,8.162500381469727,8.246429443359375,6.9719648361206055,640875200,7.920017910003662,7.477514314651489,70.92777792749284
2010-03-29,8.321429252624512,8.352499961853027,8.272143363952637,8.299642562866211,7.016956806182861,540744400,7.961803579330445,7.493914308547974,68.16593895505652
2010-03-30,8.449999809265137,8.481429100036621,8.366070747375488,8.423213958740234,7.121426582336426,527310000,8.010017824172973,7.5152857303619385,70.06926394283656
2010-03-31,8.410357475280762,8.450357437133789,8.373571395874023,8.39285659790039,7.095763206481934,430659600,8.0558571100235,7.529542865753174,67.19767853310208
2010-04-01,8.478928565979004,8.526070594787598,8.3125,8.427499771118164,7.125055313110352,603145200,8.100964260101318,7.546857137680053,67.04253713293255
2010-04-05,8.392143249511719,8.518214225769043,8.384642601013184,8.517499923706055,7.201143264770508,684507600,8.135857105255127,7.568585720062256,76.88070283917669
2010-04-06,8.507143020629883,8.579999923706055,8.464285850524902,8.555000305175781,7.232847690582275,447017200,8.17239282131195,7.598435726165771,77.2480925158732
2010-04-07,8.555356979370117,8.640000343322754,8.523571014404297,8.592857360839844,7.264857292175293,628502000,8.203785681724549,7.625242872238159,78.99363528909919
2010-04-08,8.587142944335938,8.626428604125977,8.501428604125977,8.569643020629883,7.245228290557861,572989200,8.230767846107483,7.649535732269287,76.80445359281437
2010-04-09,8.6225004196167,8.63892936706543,8.587857246398926,8.635356903076172,7.300784111022949,334182800,8.259857153892517,7.673757152557373,84.91775367713022
2010-04-12,8.649999618530273,8.681071281433105,8.63607120513916,8.653214454650879,7.315883159637451,333026400,8.287875008583068,7.704471445083618,83.75669369841613
2010-04-13,8.637857437133789,8.671428680419922,8.61107063293457,8.65821361541748,7.320111274719238,306210800,8.32107138633728,7.740450000762939,81.25272099845667
